,sm,wfm,mae
camourflage_00473,0.9179381459628242,0.8865239453769086,0.017194916930379747
camourflage_00478,0.884184048967328,0.9203768904960237,0.03150192236140394
camourflage_00496,0.9574096342969025,0.9401614236868457,0.0037257019438444922
camourflage_00498,0.8955619669224324,0.8689262411848082,0.02269503546099291
camourflage_00500,0.8952987894121303,0.8269573412613527,0.006591327167786141
camourflage_00502,0.9086282996307995,0.8999345393646376,0.0040464578804081715
camourflage_00510,0.9223407569823252,0.9065855532031307,0.019609103078982597
camourflage_00515,0.9218380209531101,0.9257348003693809,0.023754666666666667
camourflage_00519,0.6350043189105549,0.45834238042572534,0.20878136857331706
camourflage_00522,0.5122262076787737,0.3601380306241,0.17254071793209627
camourflage_00528,0.8459878401291431,0.9217227210887734,0.007818805488297014
camourflage_00539,0.9360985727205848,0.9151947057429449,0.007057462245945228
camourflage_00550,0.9387680812401373,0.951213079925932,0.01774997409106754
camourflage_00563,0.4467442319098755,0.0,0.051363646109534804
camourflage_00594,0.9514480179922609,0.9756599108128617,0.01773148148148148
camourflage_00597,0.9547879950889779,0.9399803242933089,0.004701226207906296
camourflage_00600,0.9791787821847282,0.989658429925814,0.003999949045235093
camourflage_00602,0.9346717170605854,0.9446639483943859,0.022265691245182833
camourflage_00623,0.9307384247825681,0.9463520413374107,0.011294975688816856
camourflage_00631,0.9668580886286398,0.9690204714698842,0.0038852939549803662
camourflage_00641,0.9532561154303882,0.9492090119625746,0.01014049374564396
camourflage_00647,0.9076504765553912,0.9300380633087629,0.028336867145886124
camourflage_00677,0.960302548393592,0.9630069470625671,0.005067442719881745
camourflage_00688,0.956800575445868,0.9683073095139082,0.0115528
camourflage_00694,0.8104064024443935,0.7040365510367083,0.02103031072191552
camourflage_00699,0.8394102226344282,0.8591578578661805,0.07430965975491668
camourflage_00706,0.8508812952859697,0.8268755261941086,0.06193908773976216
camourflage_00713,0.6362809732974308,0.5556305289166803,0.08384635416666666
camourflage_00723,0.5121356272264779,0.32396315185276103,0.3725019592476489
camourflage_00750,0.9524182455330662,0.9437831906504295,0.007074551131928181
camourflage_00758,0.9228272738999337,0.9620481553219362,0.03324899367452559
camourflage_00768,0.9375260994015456,0.964970251520249,0.019482666666666665
camourflage_00779,0.9413147001484685,0.9633048483965709,0.02164705882352941
camourflage_00782,0.6768154105723001,0.5973205266919371,0.057261458333333334
camourflage_00783,0.7728076165026578,0.7188361896953857,0.0723184011476265
camourflage_00794,0.9641087337111132,0.9702883797599337,0.010258023768817365
camourflage_00800,0.9470910007672855,0.9710940594446592,0.01946345591401042
camourflage_00801,0.8542601015645115,0.8435698902389349,0.021272211027660744
camourflage_00807,0.9144381687176265,0.8694275633536938,0.01152506963788301
camourflage_00829,0.9642895505152818,0.9546064814334797,0.0034847530644469393
camourflage_00846,0.2504512462824089,0.09396350153514764,0.5571295964220164
camourflage_00847,0.9318885327555424,0.8854138569686593,0.0038233208272327964
camourflage_00857,0.7953023475416103,0.7755582466140006,0.02601951402016383
camourflage_00860,0.7896199479434145,0.6810581035344827,0.01291803205812122
camourflage_00863,0.7006279262923891,0.5821814287423818,0.08640066599274544
camourflage_00869,0.9177145213889839,0.9122904197208016,0.021538642426202043
camourflage_00890,0.522518624377239,0.254431428137098,0.05713373083475298
camourflage_00903,0.6898230291271903,0.7064072738910253,0.018509766855702582
camourflage_00924,0.7483064936330535,0.7554052508943919,0.15805265772478888
camourflage_00928,0.9378233581734972,0.933166602487936,0.016770781014565545
camourflage_00931,0.9470680818925347,0.9338384847674188,0.00835177331120536
camourflage_00939,0.7848460747331067,0.7028321369036585,0.10990203576240941
camourflage_00944,0.9414470542075418,0.9312346303003849,0.013266666666666666
camourflage_00959,0.9148815892229565,0.883932183244622,0.014505489214175655
camourflage_00977,0.2758220655804739,0.3307914853215901,0.6066339198963618
camourflage_00985,0.9730628681875377,0.9894234888101647,0.007691666666666667
camourflage_00991,0.7427347089903225,0.7029821846483352,0.10720535714285714
camourflage_00997,0.9197029941589129,0.9183896140144272,0.031520522388059705
camourflage_00998,0.9554667806223515,0.9527090783087769,0.009052333804809052
camourflage_01001,0.9251791500364213,0.9283844793470646,0.025455423420693835
camourflage_01003,0.9813570138119789,0.9943346718868269,0.004831436163174514
camourflage_01004,0.888039748902934,0.9175174064486045,0.05401030413827489
camourflage_01006,0.8039878438614533,0.649512911116629,0.0779253905834839
camourflage_01008,0.9561585947169668,0.982104106894855,0.015104
